Country,Attribute,"Gross domestic product, constant prices","Gross domestic product, current prices","Gross domestic product, deflator","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,Implied PPP conversion rate,Total investment,Gross national savings,"Inflation, average consumer prices","Inflation, end of period consumer prices",Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Population,General government revenue,General government total expenditure,General government net lending/borrowing,General government primary net lending/borrowing,General government gross debt,"Gross domestic product corresponding to fiscal year, current prices",Current account balance,Unemployment rate,General government net debt,Employment,General government structural balance,Output gap in percent of potential GDP
Lebanon,2021,39988.7,207494.628,518.519,5957707.549,30854701.51,0.049,2836.761,,-3.83,671.601,1145.837,3.357,9.608,-0.26,3.46,6.725,20280.109,18950.469,1329.641,3938.951,725998.029,207401.04,-20.784,,718790.555,,910.769,
Lebanon,2023,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,
Lesotho,2017,18.987,39.655,145.059,13580.914,19623.95,0.005,5.506,24.97,20.935,108.896,111.526,3.367,3.706,5.496,9.1,2.021,63.638,66.333,-2.695,-1.41,53.908,31.508,-4.134,,13.706,,,
Lesotho,2018,20.134,42.439,159.397,13314.029,20860.99,0.004,5.908,22.756,19.484,114.163,117.511,-4.475,-5.227,0.315,0.573,2.034,63.277,69.322,-6.046,-4.464,64.349,34.171,-3.353,,22.57,,,
Lesotho,2019,19.044,43.259,167.077,12964.11,21120.734,0.004,6.084,25.175,23.633,120.273,120.734,0.228,1.248,-0.381,-0.243,2.048,63.173,70.747,-7.574,-5.672,76.966,35.112,-1.579,,28.304,,,
Lesotho,2020,16.293,42.663,172.867,12374.756,20690.863,0.004,6.213,28.29,27.291,125.793,130.737,-2.995,-2.16,-21.306,-20.245,2.062,72.014,72.028,-0.014,2.015,72.363,34.911,-1.02,,27.286,,,
Lesotho,2021,22.35,46.303,183.792,12445.819,22187.292,0.004,6.322,23.392,18.985,134.17,140.441,-1.648,-1.123,15.722,15.157,2.087,61.877,68.955,-7.078,-5.281,76.737,37.783,-4.519,,28.725,,,
Lesotho,2022,23.113,50.803,199.154,12557.592,24052.006,0.004,6.402,22.6,14.656,146.923,151.677,1.78,1.896,5.616,5.696,2.112,58.79,69.647,-10.857,-8.803,84.985,41.809,-8.14,,42.418,,,
Lesotho,2023,23.567,54.828,212.411,12671.234,25647.358,0.004,6.586,27.508,24.428,155.2,158.234,8.116,7.974,1.919,1.943,2.138,74.753,73.313,1.439,3.637,89.21,45.54,-3.153,,42.064,,,
Liberia,2017,5.693,13.845,102.996,2217.688,2944.471,0.006,0.461,,,479.155,516.39,-25.349,-27.633,-7.742,8.026,4.702,28.874,36.245,-7.371,-6.921,32.856,3.321,-23.016,,32.856,,,
Liberia,2018,4.506,13.996,100,2190.718,2904.459,0.006,0.437,,,600.165,674.358,-5.607,-7.607,31.622,66.943,4.819,28.87,33.726,-4.856,-3.986,38.314,3.264,-22.017,,38.314,,,
Liberia,2019,0.666,13.571,96.797,2084.561,2748.873,0.005,0.416,,,759.098,796.87,-4.493,-6.115,-7.288,-10.139,4.937,28.233,33.308,-5.076,-3.98,50.026,3.08,-20.238,,50.026,,,
Liberia,2020,0.121,13.359,98.366,1974.326,2641.222,0.005,0.417,,,873.2,891.652,5.433,22.074,-13.321,-0.38,5.058,32.216,36.358,-4.142,-2.818,60.458,3.037,-16.896,,60.458,,,
Liberia,2021,8.253,15.012,108.219,2024.43,2897.933,0.005,0.439,,,930.986,931.945,-0.367,4.909,12.329,16.877,5.18,28.241,30.833,-2.592,-1.689,55.178,3.509,-18.485,,55.178,,,
Liberia,2022,8.209,16.913,116.952,2071.821,3188.287,0.005,0.443,,,1000.86,1020.772,-6.286,-1.057,23.277,37.725,5.305,22.457,28.001,-5.544,-4.565,56.046,3.974,-20.418,,56.046,,,
Liberia,2023,8.11,18.412,122.333,2115.583,3389.493,0.006,0.447,,,1109.106,1146.364,18.91,22.502,14.926,17.588,5.432,22.503,25.437,-2.933,-1.669,54.584,4.347,-23.88,,54.584,,,
Libya,2017,127.928,315.194,98.082,38749.124,48879.068,0.126,0.606,13.708,,318.147,356.396,24.278,14.858,131.608,133.212,6.448,46.202,67.617,-21.416,-21.416,,93.605,10.987,,,,,
Libya,2018,110.956,352.064,101.611,41412.623,54056.728,0.131,0.613,15.134,,347.104,323.227,17.161,22.247,43.112,43.281,6.513,96.092,76.867,19.225,19.225,,104.674,25.976,,,,,
Libya,2019,80.285,320.431,105.853,36412.432,48712.949,0.114,0.628,14.163,,320.698,325.33,37.373,34.55,-9.895,-10.009,6.578,116.605,93.123,23.482,23.482,,96.836,11.342,,,,,
Libya,2020,35.079,222.267,100.822,25432.672,33455.589,0.083,0.59,28.546,,329.786,337.091,-41.625,-53.642,-65.906,-66.241,6.644,57.887,94.652,-36.765,-36.765,,65.065,-12.451,,,,,
